#N S_wide S_narrow rel_err_wide rel_err_narrow
33100 0.9322676592 0.9441465257 -0.0129690882 -0.0003924335
33600 0.9479082556 0.9456101190 0.0035902679 0.0011571342
34100 0.9391412269 0.9458577713 -0.0056917535 0.0014193340
34600 0.9635030113 0.9445086705 0.0201010904 -0.0000090156
35100 0.9137699862 0.9454772080 -0.0325533512 0.0010164157
35600 0.9506391927 0.9392205056 0.0064816256 -0.0056078178
36100 0.9576707883 0.9456024931 0.0139262711 0.0011490603
36600 0.9435253255 0.9466530055 -0.0010501243 0.0022612818
37100 0.9481047947 0.9486522911 0.0037983521 0.0043780095
37600 0.9401512322 0.9441156915 -0.0046224184 -0.0004250790
38100 0.9369995598 0.9428477690 -0.0079592264 -0.0017674817
38600 0.9414856010 0.9409974093 -0.0032096662 -0.0037265352
39100 0.9458569098 0.9450447570 0.0014184219 0.0005585617
39600 0.9339142720 0.9455176768 -0.0112257501 0.0010592617
40100 0.9426350273 0.9442643392 -0.0019927204 -0.0002676995
40600 0.9054038435 0.9448891626 -0.0414109378 0.0003938273
41100 0.9187536752 0.9433090024 -0.0272769105 -0.0012791546
41600 0.9509464231 0.9418269231 0.0068069034 -0.0028482942
42100 0.9391906634 0.9433491686 -0.0056394130 -0.0012366289
42600 0.9311341478 0.9428697183 -0.0141691843 -0.0017442431
43100 0.9415358579 0.9449535963 -0.0031564571 0.0004620460
43600 0.9251638091 0.9440940367 -0.0204902326 -0.0004480058
44100 0.9625135052 0.9425453515 0.0190534588 -0.0020876639
44600 0.9464913524 0.9420403587 0.0020901329 -0.0026223209
45100 0.9411717423 0.9477549889 -0.0035419616 0.0034279980
45600 0.9323443099 0.9463541667 -0.0128879349 0.0019448887
46100 0.9289806699 0.9469631236 -0.0164491618 0.0025896170
46600 0.9713790774 0.9444206009 0.0284398123 -0.0001022586
47100 0.9445540155 0.9460721868 0.0000389930 0.0016463448
47600 0.9430063383 0.9434873950 -0.0015995978 -0.0010902829
48100 0.9489694035 0.9448024948 0.0047137497 0.0003020685
48600 0.9286040145 0.9418724280 -0.0168479427 -0.0028001162
49100 0.9603331850 0.9446537678 0.0167450622 0.0001446050
49600 0.9430079855 0.9396925403 -0.0015978539 -0.0051080548
50100 0.9473746054 0.9500499002 0.0030252700 0.0058577169
50600 0.9483885983 0.9427124506 0.0040988268 -0.0019107490
51100 0.9377770670 0.9450097847 -0.0071360469 0.0005215351
51600 0.9262407045 0.9454215116 -0.0193500781 0.0009574476
52100 0.9195909018 0.9457053743 -0.0263905034 0.0012579849
52600 0.9550242677 0.9465304183 0.0111242886 0.0021314936
53100 0.9322997417 0.9472222222 -0.0129351211 0.0028639355
53600 0.9582470942 0.9424207090 0.0145364304 -0.0022196282
54100 0.9702368211 0.9452402957 0.0272304576 0.0007655868
54600 0.9394503535 0.9423534799 -0.0053644682 -0.0022908064
55100 0.9210444589 0.9424455535 -0.0248515616 -0.0021933242
55600 0.9472088214 0.9437050360 0.0028497475 -0.0008598572
56100 0.9541903845 0.9467023173 0.0102414214 0.0023134903
56600 0.9521166007 0.9437279152 0.0080458195 -0.0008356340
57100 0.9630192813 0.9466068301 0.0195889452 0.0022123941
57600 0.9570227581 0.9415147569 0.0132401743 -0.0031787976
58100 0.9534721286 0.9437177281 0.0094809738 -0.0008464196
58600 0.9415208455 0.9446672355 -0.0031723514 0.0001588638
59100 0.9546117588 0.9492808799 0.0106875482 0.0050435228
59600 0.9474188864 0.9414010067 0.0030721521 -0.0032992297
60100 0.9458457392 0.9427412646 0.0014065952 -0.0018802425
60600 0.9540848601 0.9442863036 0.0101296984 -0.0002444448
61100 0.9454816996 0.9416530278 0.0010211711 -0.0030324044
61600 0.9657426933 0.9433238636 0.0224723359 -0.0012634204
62100 0.9446597158 0.9447262480 0.0001509024 0.0002213428
62600 0.9616528088 0.9468650160 0.0181422034 0.0024857463
63100 0.9332326066 0.9401743265 -0.0119474578 -0.0045979676
63600 0.9336919247 0.9427869497 -0.0114611585 -0.0018318737
64100 0.9388458902 0.9427847114 -0.0060044389 -0.0018342435
64600 0.9735680726 0.9461106811 0.0307573935 0.0016871003
65100 0.9635517847 0.9456029186 0.0201527289 0.0011495108
65600 0.9533917774 0.9442644817 0.0093959026 -0.0002675485
