stream,step,processed,true_unique,estimate,estimate_plus
13,0,2500,2467,2402.82,2402.82
13,1,5000,4885,4877.8,4872.03
13,2,7500,7295,7371.11,7371.11
13,3,10000,9711,9414.23,9414.23
13,4,12500,12108,11907.6,11907.6
13,5,15000,14512,14283.1,14283.1
13,6,17500,16905,16468.8,16468.8
13,7,20000,19321,18678.8,18678.8
13,8,22500,21720,21114.4,21114.4
13,9,25000,24121,23821.5,23821.5
13,10,27500,26515,25670,25670
13,11,30000,28912,29012.7,29012.7
13,12,32500,31304,30982.7,30982.7
13,13,35000,33704,33936.1,33936.1
13,14,37500,36090,36171.4,36171.4
13,15,40000,38495,38226.2,38226.2
13,16,42500,40892,40170.8,40170.8
13,17,45000,43262,43044.3,43044.3
13,18,47500,45648,46278.7,46278.7
13,19,50000,48047,48300.8,48300.8
14,0,2500,2460,2445.49,2445.49
14,1,5000,4892,5064.39,5063.01
14,2,7500,7317,7517.5,7517.5
14,3,10000,9736,10118.9,10118.9
14,4,12500,12137,12281.2,12281.2
14,5,15000,14551,14575.7,14575.7
14,6,17500,16969,17174.3,17174.3
14,7,20000,19369,19620.9,19620.9
14,8,22500,21787,22084.7,22084.7
14,9,25000,24184,24561.3,24561.3
14,10,27500,26586,26880.6,26880.6
14,11,30000,28988,29071.2,29071.2
14,12,32500,31393,31463.6,31463.6
14,13,35000,33772,33506.2,33506.2
14,14,37500,36159,35454.9,35454.9
14,15,40000,38543,37598.3,37598.3
14,16,42500,40932,39655.5,39655.5
14,17,45000,43347,41680.8,41680.8
14,18,47500,45755,44491.5,44491.5
14,19,50000,48114,47683.2,47683.2
15,0,2500,2458,2578.11,2546.11
15,1,5000,4887,5029.32,5027.1
15,2,7500,7303,7625.17,7625.17
15,3,10000,9731,10258.9,10258.9
15,4,12500,12151,12512,12512
15,5,15000,14551,15142,15142
15,6,17500,16957,17384.4,17384.4
15,7,20000,19370,19274.8,19274.8
15,8,22500,21787,21439.4,21439.4
15,9,25000,24190,23869.2,23869.2
15,10,27500,26599,26813.7,26813.7
15,11,30000,29019,28793.3,28793.3
15,12,32500,31423,31685.9,31685.9
15,13,35000,33837,33823.1,33823.1
15,14,37500,36249,36037.5,36037.5
15,15,40000,38640,39328,39328
15,16,42500,41033,41655.6,41655.6
15,17,45000,43435,43816.6,43816.6
15,18,47500,45810,46393.4,46393.4
15,19,50000,48184,48528.3,48528.3
16,0,2500,2469,2312.85,2312.85
16,1,5000,4898,4978.56,4975.12
16,2,7500,7309,7501.31,7501.31
16,3,10000,9726,10309.7,10309.7
16,4,12500,12120,12950.8,12950.8
16,5,15000,14531,15220.5,15220.5
16,6,17500,16927,17774.3,17774.3
16,7,20000,19319,20495.7,20495.7
